id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
6848,Only 2 stops to Manhattan studio,15991,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,46
14290,* ORIGINAL BROOKLYN LOFT *,56104,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,140
14377,Williamsburg 1 bedroom Apartment,56512,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,30
15385,"Very, very cozy place",60252,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,263
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,362
18764,Cozy 2 BR in Williamsburg ,72014,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,238
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,272
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,288
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,152
25406,"Modern Brooklyn Apt., August sublet",105538,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,222
26969,2 story family home in Williamsburg,115307,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,107
28396,Modern Apt with Spectacular Views,6197784,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,245
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,280
32969,Light filled Williamsburg Apartment,142833,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,188
33009,Retreat in Williamsburg,143027,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,214
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,1.86,262
36133,Classic Artist Loft Williamsburg,142684,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1
36934,Great location in Williamsburg,159370,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,189
39282,Indie-Chic Share In Williamsburg,168525,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86,53
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,177
45940,Bright Spacious Luxury Condo,204724,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1
54158,The Institute—Heart of Williamsburg,10889,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,164
55467,Private Garden Apt • New Renovation,260709,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,125
55959,Spacious Williamsburg Share w/ LOFT BED,168525,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13,60
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,308875,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,1.77,15
64000,Williamsburg near soho. / loftbed,312722,Brooklyn,Williamsburg,40.7069,-73.95467,Private room,60,17,14,0.14,362
65615,Farmhouse Apartment in Williamsburg,320761,Brooklyn,Williamsburg,40.71069,-73.95175,Entire home/apt,130,10,49,0.48,152
65660,Bright+Spacious Williamsburg Abode!,320538,Brooklyn,Williamsburg,40.70863,-73.94641,Entire home/apt,95,4,132,1.27,46
66451,**Fantastic Williamsburg Apt**,325389,Brooklyn,Williamsburg,40.71031,-73.9583,Entire home/apt,140,2,9,0.11,254
67299,Cozy Garden Apartment  in Williamsburg,330347,Brooklyn,Williamsburg,40.71492,-73.96282,Entire home/apt,135,30,56,0.56,42
74073,Food & Music Dream Apartment in Williamsburg,211877,Brooklyn,Williamsburg,40.71015,-73.96101,Entire home/apt,195,4,59,0.6,71
74240,French Garden cottage off Bedford,389924,Brooklyn,Williamsburg,40.71903,-73.9597,Entire home/apt,169,1,68,0.67,215
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,308875,Brooklyn,Williamsburg,40.71398,-73.95763,Private room,69,2,220,2.17,8
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",430188,Brooklyn,Williamsburg,40.70516,-73.95455,Private room,120,14,76,0.76,343
83722,Williamsburg penthouse with private roof cabana,456638,Brooklyn,Williamsburg,40.7205,-73.96015,Entire home/apt,199,30,8,0.11,30
103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,465278,Brooklyn,Williamsburg,40.71577,-73.96053,Entire home/apt,190,3,124,1.76,359
120362,Williamsburg apartment right by the subway,138069,Brooklyn,Williamsburg,40.70665,-73.94061,Entire home/apt,190,4,50,0.51,331
121687,Spacious Brooklyn Loft - 2 Bedroom,262812,Brooklyn,Williamsburg,40.72063,-73.95952,Entire home/apt,200,2,29,0.31,36
134934,Prime Williamsburg Apartment,652842,Brooklyn,Williamsburg,40.71823,-73.95849,Entire home/apt,225,10,22,0.38,52
140133,Truly Amazing Oasis In The City,622866,Brooklyn,Williamsburg,40.71363,-73.96019,Entire home/apt,249,3,150,1.55,277
155296,Incredible Prime Williamsburg Loft!,656841,Brooklyn,Williamsburg,40.71624,-73.96272,Entire home/apt,255,45,39,0.5,89
158176,Entire Apt in Heart of Williamsburg,573065,Brooklyn,Williamsburg,40.71534,-73.95914,Entire home/apt,165,5,117,1.28,23
158955,PRIVATE and SUNNY Williamsburg Apt!,465589,Brooklyn,Williamsburg,40.70867,-73.94284,Entire home/apt,139,2,385,4.0,222
169464,Creative Vintage Loft in S. Williamsburg,806774,Brooklyn,Williamsburg,40.70667,-73.96524,Entire home/apt,85,2,86,0.89,15
176962,Williamsburg Home Away From Home!,846309,Brooklyn,Williamsburg,40.70925,-73.95425,Entire home/apt,179,4,23,0.24,25
182649,Williamsburg bedroom by Bedford Ave,876054,Brooklyn,Williamsburg,40.71312,-73.96199,Private room,70,2,227,2.4,37
188146,"""The Oasis"" on Bedford Williamsburg",906200,Brooklyn,Williamsburg,40.7158,-73.95803,Entire home/apt,350,6,1,0.02,233
193333,Bright Private Bedroom in Williamsburg (Bedford L),302936,Brooklyn,Williamsburg,40.71943,-73.95958,Private room,65,30,52,0.54,276
195578,Loft Style Apt in Williamsburg,304493,Brooklyn,Williamsburg,40.70275,-73.94501,Private room,85,1,46,0.97,59
199312,Sunny Space in Williamsburg,973438,Brooklyn,Williamsburg,40.71137,-73.94362,Private room,100,2,273,2.85,254
204833,"Great, spacious apt in Williamsburg",903686,Brooklyn,Williamsburg,40.7093,-73.9497,Private room,100,6,8,0.09,249
205867,Private Entrance - Private Parking,1012691,Brooklyn,Williamsburg,40.71893,-73.9428,Entire home/apt,120,4,87,0.99,263
206772,Williamsburg Exposed Brick Loft,1017473,Brooklyn,Williamsburg,40.71413,-73.96596,Entire home/apt,195,14,31,0.33,263
226021,Sunny 2 bedroom Williamsburg Duplex w/ 3 beds,815977,Brooklyn,Williamsburg,40.71126,-73.94576,Entire home/apt,220,3,116,1.23,135
236671,"Williamsburg Garden Home, 5 minutes from Manhattan",1240820,Brooklyn,Williamsburg,40.71746,-73.95497,Entire home/apt,180,2,125,1.36,248
243708,Williamsburg  - Quiet and Comfy stay,288711,Brooklyn,Williamsburg,40.70875,-73.95508,Entire home/apt,199,30,242,2.59,102
251262,Prime Williamsburg Loft off Bedford,1278802,Brooklyn,Williamsburg,40.71628,-73.95737,Private room,129,2,241,2.6,303
255476,"The BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",1302029,Brooklyn,Williamsburg,40.7116,-73.9529,Private room,89,30,30,0.8,91
257787,Heart of Williamsburg. Brand New.,1356046,Brooklyn,Williamsburg,40.71408,-73.9489,Private room,64,3,247,2.65,117
270680,GREAP STUDIO / 4PPL IN MIDTOWN,1315849,Brooklyn,Williamsburg,40.71073,-73.96207,Private room,190,1,30,0.33,365
270681,BEDFORD AV.  ROOM IN WILLIAMSBURG..,1315849,Brooklyn,Williamsburg,40.71028,-73.96128,Private room,75,2,5,0.06,365
272738,Guest Room in Authentic Williamsburg Factory Loft,1427381,Brooklyn,Williamsburg,40.70513,-73.95505,Private room,60,2,35,0.38,161
283272,Stylish Garden House - Trendy area,524730,Brooklyn,Williamsburg,40.71422,-73.9484,Entire home/apt,100,19,5,0.06,6
287481,Bright Loft Apt w Skylight in Wburg,1495502,Brooklyn,Williamsburg,40.70839,-73.94289,Entire home/apt,120,6,66,0.72,17
293837,"Big Apt for Funky Art /Music Lovers, Outdoor Patio",1495502,Brooklyn,Williamsburg,40.70736,-73.94331,Entire home/apt,157,4,54,0.66,12
294353,Williamsburg HUGE SUNNY next2train!,430188,Brooklyn,Williamsburg,40.70686,-73.95365,Private room,135,28,84,1.12,310
296345,E Williamsburg Apartment with Yard,496164,Brooklyn,Williamsburg,40.71143,-73.94159,Private room,75,2,98,1.07,264
297962,"Private room in 2 br Apt, Wburg, BK",1535987,Brooklyn,Williamsburg,40.70638,-73.96627,Private room,70,1,2,0.05,363
298073,"Bright, Airy Williamsburg Apt",1536533,Brooklyn,Williamsburg,40.71629,-73.95786,Entire home/apt,130,14,23,0.25,25
305211,Your Own 2 Br Apt Bedford and Grand,1570170,Brooklyn,Williamsburg,40.71532,-73.96064,Entire home/apt,180,3,236,2.74,242
319724,Cozy Nook in Heart of Williamsburg,1639120,Brooklyn,Williamsburg,40.71394,-73.96267,Private room,59,3,207,2.29,284
322604,Artist Loft-McCarren Park-Williamsburg-BrooklynNYC,1651591,Brooklyn,Williamsburg,40.71819,-73.95414,Private room,95,2,160,1.8,79
324115,Large Master Bedroom - Williamsburg,1639120,Brooklyn,Williamsburg,40.71336,-73.96192,Private room,75,2,219,2.44,277
333189,Charming private room in New-York,1697784,Brooklyn,Williamsburg,40.71179,-73.96449,Private room,79,4,42,0.47,52
359982,Sunny private room right off L train,1631288,Brooklyn,Williamsburg,40.70712,-73.94013,Private room,65,4,30,0.34,139
364275,Den of Zen at The Denizen Bushwick,1840564,Brooklyn,Williamsburg,40.70507,-73.9353,Private room,72,3,156,1.8,110
369411,"ingefära hus! Private room Williamsburg, Brooklyn",179679,Brooklyn,Williamsburg,40.71148,-73.95573,Private room,94,2,272,3.18,22
373618,Authentic designer loft/roof deck best Williamsbrg,1879389,Brooklyn,Williamsburg,40.72212,-73.95696,Private room,129,3,63,0.71,87
392948,Williamsburg near soho .support artist living,312722,Brooklyn,Williamsburg,40.70994,-73.96573,Private room,45,15,15,0.57,242
404502,ARTIST LOFT+OFFICE in PRIME WILLIAMSBURG!,242506,Brooklyn,Williamsburg,40.7093,-73.96484,Private room,123,3,269,3.09,158
406992,Family friendly Williamsburg Apt for Vacation!,1952186,Brooklyn,Williamsburg,40.71121,-73.94669,Entire home/apt,145,3,7,0.08,270
411525,Beautiful Room + Private Balcony,1697784,Brooklyn,Williamsburg,40.71472,-73.96225,Private room,120,6,62,0.7,15
413504,Perfect NYC/Williamsburg Location,1286417,Brooklyn,Williamsburg,40.71348,-73.94447,Private room,119,3,137,1.57,296
436510,Beautiful corner prewar apartment in Williamsburg,2168251,Brooklyn,Williamsburg,40.7108,-73.96226,Entire home/apt,200,3,16,0.19,291
439750,Perfect apt. above L train Graham stop,1566042,Brooklyn,Williamsburg,40.71517,-73.94292,Private room,55,150,10,0.14,97
449034,Spacious Loft 5 min to Union Square,124357,Brooklyn,Williamsburg,40.71756,-73.95282,Private room,90,1,155,1.78,328
458154,"Cozy private room, williamsburg NYC",2268393,Brooklyn,Williamsburg,40.7061,-73.94531,Private room,55,4,132,1.51,195
458377,Bright Spacious 2 Bedroom/5 Room - wRoof Deck,346366,Brooklyn,Williamsburg,40.70147,-73.94378,Entire home/apt,229,3,12,0.15,319
461050,Perfect Bedford L Williamsburg Location!,2286224,Brooklyn,Williamsburg,40.71613,-73.95837,Entire home/apt,200,3,17,0.2,67
466277,"W'burg 2 bedroom w/ yard & laundry, 5 mins to L",815977,Brooklyn,Williamsburg,40.7111,-73.94643,Entire home/apt,235,3,108,1.25,144
470709,Spacious sunny LOFT - best location,2335775,Brooklyn,Williamsburg,40.71856,-73.95166,Entire home/apt,165,30,154,1.87,157
479263,Mini Loft Williamsburg Bkln-Bedford,2373905,Brooklyn,Williamsburg,40.7182,-73.95763,Entire home/apt,145,30,36,0.42,342
479867,Williamsburg 2b apartment with deck,2377104,Brooklyn,Williamsburg,40.71739,-73.95472,Entire home/apt,225,2,338,3.9,225
483505,Perfect & Stylish Williamsburg Apt,2393537,Brooklyn,Williamsburg,40.70743,-73.96728,Entire home/apt,142,7,69,0.85,261
489365,PRIME LOCATION STYLISH COMFORT,2420670,Brooklyn,Williamsburg,40.71689,-73.95706,Entire home/apt,226,3,203,2.85,38
498052,Modern private room in condominium,2426779,Brooklyn,Williamsburg,40.71483,-73.96216,Private room,120,1,124,1.46,292
501098,Private Bedroom in Wooden House,2472680,Brooklyn,Williamsburg,40.71384,-73.9474,Private room,90,4,219,2.54,30
503722,Hip Stylish WIlliamsburg Studio,2484383,Brooklyn,Williamsburg,40.71345,-73.95689,Entire home/apt,175,2,15,0.29,64
521672,Luxury Loft in Creative & Fun Apt,1720619,Brooklyn,Williamsburg,40.71423,-73.95305,Private room,89,4,160,1.92,23
532749,"Very Large, Airy, and Bright Loft -Williamsburg",2617850,Brooklyn,Williamsburg,40.71606,-73.95526,Entire home/apt,280,7,82,0.98,41
541725,"Entire loft, best Williamsburg",1879389,Brooklyn,Williamsburg,40.71872,-73.96042,Entire home/apt,189,4,33,0.44,1
575061,Your own floor (private) in prime Williamsburg!!,2828813,Brooklyn,Williamsburg,40.71603,-73.95665,Private room,120,2,143,4.14,102
587641,Luxury Pad NYC - Williamsburg Loft,717562,Brooklyn,Williamsburg,40.7197,-73.95741,Entire home/apt,275,30,6,0.07,363
588677,Great find- 2 bedroom apartment in Williamsburg!,2407024,Brooklyn,Williamsburg,40.70989,-73.95347,Entire home/apt,250,30,1,0.01,250
600286,"lovely, spacious wmsbrg apt w deck",1036617,Brooklyn,Williamsburg,40.70397,-73.95536,Entire home/apt,180,14,27,0.36,312
616585,Great house in Williamsburg ,10889,Brooklyn,Williamsburg,40.72091,-73.96133,Entire home/apt,250,3,25,0.3,188
619122,Big Sunny Williamsburg 14ft Ceilings w Half Bath,2272846,Brooklyn,Williamsburg,40.71447,-73.95237,Private room,64,30,17,0.26,230
644464,Loft Room in Heart of Williamsburg,3225114,Brooklyn,Williamsburg,40.71827,-73.96259,Private room,350,2,3,0.04,365
646458,Room in Williamsburg Loft - Long Stays,415660,Brooklyn,Williamsburg,40.71256,-73.96626,Private room,73,6,6,0.07,310
648246,Spacious Brooklyn Loft w/ River View,62583,Brooklyn,Williamsburg,40.71227,-73.96776,Entire home/apt,195,1,39,0.47,270
659880,1 bedroom in a super cute 2 bed,1648054,Brooklyn,Williamsburg,40.70653,-73.94421,Private room,100,60,3,0.04,365
660016,"Peaceful with Windows, Brooklyn Apt",270064,Brooklyn,Williamsburg,40.70249,-73.9488,Entire home/apt,139,2,211,2.57,19
666315,BEDFORD AVE STUDIO APT WITH GARDEN,1486465,Brooklyn,Williamsburg,40.71157,-73.9636,Entire home/apt,100,31,15,0.18,223
666613,Amazing Williamsburg entire Loft. Floor 2B,3370705,Brooklyn,Williamsburg,40.71112,-73.96338,Entire home/apt,199,4,78,1.26,65
690553,Modern Lofted Williamsburg 3bd,743742,Brooklyn,Williamsburg,40.7056,-73.94202,Entire home/apt,198,1,294,3.59,233
699472,NYC 1st Shipping Container Home,3587751,Brooklyn,Williamsburg,40.70995,-73.95536,Entire home/apt,220,1,404,4.9,341
702213,W'burg Hidden Treasure Off Lorimer,240471,Brooklyn,Williamsburg,40.70751,-73.9467,Private room,150,3,32,0.42,365
706347,"HISTORIC WILLIAMSBURG, BKLYN #2",839679,Brooklyn,Williamsburg,40.71796,-73.95439,Private room,69,3,2,0.03,284
713891,Amazing location! 10ft from L train,3675389,Brooklyn,Williamsburg,40.71534,-73.94906,Private room,85,2,146,1.78,46
715102,WILLIAMSBURG 1 private room in loft,1002452,Brooklyn,Williamsburg,40.71055,-73.94915,Private room,65,14,30,0.76,38
718761,"2 private BRs, private bath - Like your OWN APT",216191,Brooklyn,Williamsburg,40.70985,-73.9452,Private room,146,2,8,0.11,88
726465,"❤️ of Williamsburg, Private Entrance",1869332,Brooklyn,Williamsburg,40.71927,-73.95591,Private room,129,2,129,1.67,36
727835,Pristine Room and Art Experience,3772684,Brooklyn,Williamsburg,40.70866,-73.95166,Private room,99,6,89,1.09,89
731300,Private Room Williamsburg(Ariel) 4p,3398752,Brooklyn,Williamsburg,40.71141,-73.95427,Private room,95,2,164,2.07,93
737126,Williamsburg Loft!! Bedford L 1blk!,3847832,Brooklyn,Williamsburg,40.71714,-73.95447,Shared room,195,2,80,0.98,364
747344,"Stunning views! 3 separate bedrooms, L train Loft",3011406,Brooklyn,Williamsburg,40.70608,-73.93154,Entire home/apt,220,3,151,1.86,115
765203,Art Lover's Abode Brooklyn,2276842,Brooklyn,Williamsburg,40.70745,-73.94307,Shared room,52,3,19,0.44,88
765315,Bed & Bathroom in Williamsburg Loft,4034995,Brooklyn,Williamsburg,40.71203,-73.95993,Private room,115,2,91,1.18,258
766542,"Designer apt. in Williamsburg, NYC",4041877,Brooklyn,Williamsburg,40.71988,-73.95616,Entire home/apt,100,90,4,0.05,250
767761,Beautiful 1 br in Williamsburg,4049527,Brooklyn,Williamsburg,40.71572,-73.95574,Entire home/apt,165,1,41,0.52,19
769448,"Bedford Loft, Williamsburg Prime",4059034,Brooklyn,Williamsburg,40.7179,-73.96107,Entire home/apt,312,2,302,4.18,246
776257,Large One Bedroom in heart of North Williamsburg,4094151,Brooklyn,Williamsburg,40.71813,-73.9606,Entire home/apt,230,5,72,0.91,325
777297,XL 2 Bedroom LOFT in the Heart of Williamsburg,3419446,Brooklyn,Williamsburg,40.71606,-73.95527,Entire home/apt,200,2,72,0.95,52
784170,"HUGE, SUNNY ROOM, BLOCK 4RM TRAIN!",430188,Brooklyn,Williamsburg,40.70719,-73.95228,Private room,100,20,1,0.02,214
786843,PRIVATE ROOFTOP +BEST LOCATION+COZY,3117671,Brooklyn,Williamsburg,40.71222,-73.95827,Entire home/apt,145,3,121,1.51,45
800051,Bright & Beautiful 3bdr apt in Prime Williamsburg,195932,Brooklyn,Williamsburg,40.7176,-73.95234,Entire home/apt,200,10,6,0.09,174
807535,Spacious Private Bedroom Brooklyn - Williamsburg,4249297,Brooklyn,Williamsburg,40.70876,-73.94971,Private room,79,5,5,0.21,198
808774,Chic 1 bd apt in Prime Williamsburg,4255290,Brooklyn,Williamsburg,40.7119,-73.96031,Entire home/apt,160,30,19,0.26,59
842176,Cozy Room in Williamsburg Loft Apt,3330412,Brooklyn,Williamsburg,40.71541,-73.94464,Private room,80,4,80,1.08,245
846470,"COZY SUNNY ROOM, BLOCK 4RM TRAIN :)",430188,Brooklyn,Williamsburg,40.70694,-73.95307,Private room,75,18,5,0.06,112
850148,1 ROOM IN AMAZING ARTIST NYC LOFT,2843998,Brooklyn,Williamsburg,40.7106,-73.96532,Private room,85,2,35,0.55,365
850338,Authentic Luxury Designed Loft,4440548,Brooklyn,Williamsburg,40.71427,-73.94671,Entire home/apt,145,3,166,2.15,151
850943,ARTIST TRENDY NYC LOFT,2843998,Brooklyn,Williamsburg,40.71171,-73.96694,Entire home/apt,149,5,26,0.41,14
857810,Heart of Williamsubrg 1 Bedroom,4487224,Brooklyn,Williamsburg,40.71373,-73.94958,Entire home/apt,249,3,31,0.4,365
877135,Williamsburg 1br APT,4628887,Brooklyn,Williamsburg,40.71518,-73.94571,Entire home/apt,95,3,36,0.95,89
882209,Gorgeous Williamsburg Apartment,3673451,Brooklyn,Williamsburg,40.70502,-73.95262,Private room,80,2,37,0.56,89
887129,Comfortable and Large Duplex with Private Terrace,3490818,Brooklyn,Williamsburg,40.71437,-73.96054,Entire home/apt,191,3,156,2.08,21
894063,"Penthouse patio,city view,BIG bed",1803302,Brooklyn,Williamsburg,40.71216,-73.96326,Private room,98,3,78,1.01,268
918239,Cozy bedroom in Artist Loft,4930847,Brooklyn,Williamsburg,40.70159,-73.94346,Private room,56,1,103,1.6,65
921624,Rare Spacious Quiet Prime Williamsburg Duplex Loft,4955560,Brooklyn,Williamsburg,40.71579,-73.9588,Entire home/apt,220,4,22,0.3,8
938022,Private Bedroom in Williamsburg,1866827,Brooklyn,Williamsburg,40.7078,-73.94827,Private room,99,1,94,1.22,358
947963,Sunny WILLIAMSBURG Room near SUBWAY,3229099,Brooklyn,Williamsburg,40.71684,-73.9441,Private room,50,40,16,0.21,324
959871,Bask in the light! Studio bedroom in Williamsburg,1822729,Brooklyn,Williamsburg,40.71081,-73.96121,Private room,120,6,15,0.21,9
969463,Artsy Fashion Pad in the Heart of Williamsburg,1447988,Brooklyn,Williamsburg,40.71916,-73.95696,Entire home/apt,150,2,11,0.14,364
972426,"BIG, COMFY, PRIV. room, Big apt, yard, Will-B dplx",216191,Brooklyn,Williamsburg,40.71149,-73.94504,Private room,98,2,7,0.09,273
1009973,Brooklyn Wildlife Loft Mckibbin st,5556571,Brooklyn,Williamsburg,40.70607,-73.935,Entire home/apt,40,15,10,0.13,365
1030392,"BIG, COMFY, 4BR DUPLEX, GARDEN APT, Williamsburg",216191,Brooklyn,Williamsburg,40.71132,-73.94493,Entire home/apt,289,2,39,0.58,88
1039215,Heart of Williamsburg - authentic & central!,4911550,Brooklyn,Williamsburg,40.72091,-73.96124,Entire home/apt,90,3,166,2.21,104
1045491,Prime Williamsburg. Brand new,1356046,Brooklyn,Williamsburg,40.71454,-73.9507,Private room,75,3,179,2.39,136
1045897,"HISTORIC WILLIAMSBURG, BKLYN",839679,Brooklyn,Williamsburg,40.71797,-73.95508,Entire home/apt,195,3,173,2.34,273
1056119,Cozy Private Space in Williamsburg Townhome,5817011,Brooklyn,Williamsburg,40.70851,-73.949,Entire home/apt,116,4,112,1.49,127
1069287,Park Slope 1br by Barclays Center/Prospect Park!,5879729,Brooklyn,Williamsburg,40.71273,-73.94399,Entire home/apt,83,30,16,0.21,26
1110484,"Forget NYC, Stay in Williamsburg! Best 1 BR Apt",1690569,Brooklyn,Williamsburg,40.71852,-73.95616,Entire home/apt,175,6,32,0.43,291
1121497,Spacious E Williamsburg with Yard!!,496164,Brooklyn,Williamsburg,40.70974,-73.93962,Private room,75,5,73,0.99,307
1123934,Sunny 1BR Apt in N. Williasmburg,6164428,Brooklyn,Williamsburg,40.72065,-73.959,Entire home/apt,130,14,1,0.02,296
1137093,Triplex Penthouse in New York,5446918,Brooklyn,Williamsburg,40.71756,-73.94839,Entire home/apt,300,5,34,0.46,365
1141120,Beautiful stylish one bedroom home with balcony.,2637874,Brooklyn,Williamsburg,40.71666,-73.94552,Entire home/apt,140,3,60,1.19,197
1157522,North Williamsburg whole apt - Off the BEDFORD L,6263282,Brooklyn,Williamsburg,40.71813,-73.95981,Entire home/apt,212,2,51,0.91,147
1175400,LARGE light filled loft/apt! PRIME Williamsburg.✨,5536387,Brooklyn,Williamsburg,40.71374,-73.94642,Private room,117,2,43,0.59,88
1217046,Sunny Williamsburg Apt w/ Deck,645887,Brooklyn,Williamsburg,40.71317,-73.94851,Entire home/apt,179,3,146,2.08,282
1217318,Williamsburg Penthouse Hideaway,6642777,Brooklyn,Williamsburg,40.71024,-73.9517,Private room,105,1,374,5.06,69
1217670,"BK Rest - Williamsburg, Brooklyn",4532557,Brooklyn,Williamsburg,40.70653,-73.9462,Entire home/apt,84,45,45,0.61,244
1227528,Modern Williamsburg,3086048,Brooklyn,Williamsburg,40.71704,-73.95789,Entire home/apt,275,4,27,0.37,197
1232212,"Beautiful Huge Loft in Williamsburg, NY",3547817,Brooklyn,Williamsburg,40.71038,-73.96299,Entire home/apt,225,3,56,0.79,55
1245479,Private Room In a Modern Loft,3363749,Brooklyn,Williamsburg,40.7084,-73.94153,Private room,99,6,148,2.09,252
1251889,Private Room in Williamsburg!,2868153,Brooklyn,Williamsburg,40.7149,-73.93983,Private room,135,4,12,0.17,365
1271361,ABSOLUTELY GORGEOUS $10MILLION LOFT w/BASQUIAT,6912221,Brooklyn,Williamsburg,40.7084,-73.92642,Private room,120,5,6,0.26,66
1280188,The Original Williamsburg Loft!,3891706,Brooklyn,Williamsburg,40.71737,-73.96396,Entire home/apt,240,1,77,1.08,116
1290336,Spacious & Stylish 2br-Prime Williamsburg Hot Spot,1240820,Brooklyn,Williamsburg,40.71787,-73.95585,Entire home/apt,295,2,114,1.59,79
1297171,Artists' Haven in Williamsburg,4855335,Brooklyn,Williamsburg,40.70894,-73.94135,Private room,125,2,4,0.08,364
1304459,Sunny Williamsburg Artist's Loft,7090408,Brooklyn,Williamsburg,40.70706,-73.95071,Entire home/apt,131,4,68,1.06,5
1313768,"Large, Quiet, Sunny 1 Bedroom Condo Williamsburg",7139147,Brooklyn,Williamsburg,40.71063,-73.96774,Entire home/apt,199,3,6,0.08,12
1330056,Spacious Loft 5 min to Union Square,124357,Brooklyn,Williamsburg,40.71571,-73.95813,Private room,90,1,115,1.63,359
1330753,"Garden, Private Deck, Williamsburg apartment",2014720,Brooklyn,Williamsburg,40.71276,-73.95022,Entire home/apt,95,25,11,0.15,168
1330775,Large private live/work space; garden & parking,7187069,Brooklyn,Williamsburg,40.70392,-73.93635,Entire home/apt,100,7,41,0.58,45
1342507,Brooklyn duplex 10 mins to U Square,7281456,Brooklyn,Williamsburg,40.70816,-73.93931,Entire home/apt,150,2,24,0.53,296
1346003,1 Bedroom Railroad in Williamsburg,5605755,Brooklyn,Williamsburg,40.71652,-73.94309,Entire home/apt,150,3,52,0.72,342
1347478,Bright Bohemian master bedroom in Williamsburg,7310886,Brooklyn,Williamsburg,40.71101,-73.95164,Private room,79,2,11,0.8,73
1350055,Cozy room in Beautiful Williamsburg Appartment,2035472,Brooklyn,Williamsburg,40.71449,-73.95905,Private room,85,3,2,0.32,89
1363957,Charming WILLIAMSBURG 1 bdrm apt great location,3470583,Brooklyn,Williamsburg,40.71327,-73.93979,Entire home/apt,110,10,6,0.08,13
1428844,Gorgeous sky-lit 2BR,266878,Brooklyn,Williamsburg,40.71362,-73.93561,Entire home/apt,175,3,199,2.78,272
1467238,Charming Prime Williamsburg 2 bedroom Entire home,7859118,Brooklyn,Williamsburg,40.71915,-73.94061,Entire home/apt,165,2,80,1.28,188
1474752,Dope Williamsburg Apartment,2259113,Brooklyn,Williamsburg,40.71215,-73.95637,Private room,110,3,23,0.32,159
1494527,Huge Loft In South Williamsburg,7988149,Brooklyn,Williamsburg,40.71202,-73.96602,Entire home/apt,275,2,195,2.74,331
1496319,Private Huge 2br Williamsburg Artist Apartment!,7997061,Brooklyn,Williamsburg,40.71471,-73.94045,Entire home/apt,250,1,87,1.23,272
1511216,Private room in 2 bedroom apartment,8071107,Brooklyn,Williamsburg,40.7057,-73.93836,Private room,70,2,31,0.44,20
1516120,Art Dealer's One of a Kind Williamsburg Aptartment,228583,Brooklyn,Williamsburg,40.71,-73.9523,Entire home/apt,165,4,10,0.14,49
1530660,Boutique Williamsburg Duplex Apartment,173980,Brooklyn,Williamsburg,40.70919,-73.95012,Entire home/apt,160,30,13,0.18,252
