id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
25182363,First floor #7,151084261,Brooklyn,Williamsburg,40.71901,-73.94978,Private room,85,30,7,0.53,337
25221993,Quiet & cozy 1 BR/balcony - Graham L in WBURG,3952200,Brooklyn,Williamsburg,40.71886,-73.94054,Entire home/apt,140,2,19,1.52,216
25252879,Spacious 2 bedroom Williamsburg Apartment,4675864,Brooklyn,Williamsburg,40.71024,-73.94933,Entire home/apt,200,3,9,0.69,2
25266474,Peaceful and cozy room in Williamsburg apartment!,15288827,Brooklyn,Williamsburg,40.70959,-73.95477,Private room,60,20,4,0.32,66
25292877,Spacious Williamsburg Bohemian Paradise,33437301,Brooklyn,Williamsburg,40.71157,-73.95714,Entire home/apt,200,3,14,1.14,119
25309799,Jades place,4520673,Brooklyn,Williamsburg,40.71458,-73.96169,Private room,65,5,67,5.01,124
25339184,Cute 1 Bedroom close to Graham Ave. train stop,3360346,Brooklyn,Williamsburg,40.71604,-73.94217,Entire home/apt,53,3,4,0.3,29
25383265,Cozy plant filled room nearby multiple subways,2147561,Brooklyn,Williamsburg,40.70578,-73.94324,Private room,69,2,36,2.85,49
25392508,Beautiful Sleek Apartment in New Building,23178319,Brooklyn,Williamsburg,40.71305,-73.93955,Private room,55,5,24,1.84,313
25434447,LGBT Friendly 15 mins to Union Square!! PRVTE BATH,147229558,Brooklyn,Williamsburg,40.70883,-73.93859,Private room,230,1,21,1.72,24
25442072,Grand Penthouse loft in Prime Williamsburg,1802807,Brooklyn,Williamsburg,40.71438,-73.95955,Private room,100,6,6,0.45,3
25446811,"Quiet Williamsburg Studio, Private Bath & Entrance",1844352,Brooklyn,Williamsburg,40.7117,-73.94388,Private room,100,3,25,1.9,76
25448758,Zen Artist Duplex with Private Garden,895135,Brooklyn,Williamsburg,40.7066,-73.94595,Private room,95,3,14,1.07,180
