Neighborhood,AveragePrice
Neponsit,274.6666666666667
Willowbrook,249.0
Tribeca,244.6734693877551
Flatiron District,216.10714285714286
NoHo,214.89655172413794
Financial District,201.0560471976401
West Village,199.82059800664453
Greenwich Village,195.57615894039736
Breezy Point,195.0
DUMBO,184.78571428571428
